X,Y,Z,class
0.12,-1.71,0.37,1
0.06,-1.89,0.24,1
0.44,-42.03,-104.98,1
-0.06,-1.65,0.37,1
0.06,-1.89,0.24,1
0.57,-42.41,-105.69,1
0.00,-2.01,0.24,1
0.06,-1.89,0.24,1
0.65,-41.80,-106.25,1
0.00,-1.53,0.31,1
0.06,-1.89,0.24,1
0.93,-42.10,-105.73,1
0.18,-1.89,0.43,1
0.06,-1.89,0.24,1
1.04,-41.93,-105.44,1
0.12,-1.77,0.24,1
0.06,-1.89,0.24,1
0.59,-41.77,-105.16,1
0.00,-1.77,0.31,1
0.06,-1.89,0.24,1
1.23,-42.58,-105.47,1
-0.12,-1.95,0.18,1
0.06,-1.89,0.24,1
0.44,-41.96,-105.52,1
0.31,-1.89,0.12,1
0.06,-1.89,0.24,1
0.62,-42.36,-106.04,1
0.06,-1.77,0.55,1
0.06,-1.89,0.24,1
0.67,-41.94,-106.29,1
0.12,-1.59,0.37,1
0.06,-1.89,0.24,1
0.54,-42.49,-104.81,1
0.06,-1.77,0.37,1
0.06,-1.89,0.24,1
0.44,-41.91,-106.01,1
0.12,-1.71,0.49,1
0.06,-1.89,0.24,1
0.42,-42.26,-105.85,1
0.12,-1.77,0.37,1
0.06,-1.89,0.24,1
0.37,-42.15,-105.73,1
0.18,-1.83,0.31,1
0.06,-1.89,0.24,1
0.89,-41.86,-106.58,1
0.37,-1.89,0.31,1
0.06,-1.89,0.24,1
0.16,-41.98,-106.34,1
0.24,-1.89,0.43,1
0.06,-1.89,0.24,1
0.40,-41.92,-106.42,1
0.24,-1.95,0.37,1
0.12,-1.89,0.31,1
0.46,-42.03,-105.80,1
0.18,-1.89,0.24,1
0.12,-1.89,0.31,1
0.90,-42.35,-106.63,1
0.06,-1.77,0.37,1
0.12,-1.89,0.31,1
0.46,-42.14,-105.36,1
0.06,-1.77,0.37,1
0.12,-1.89,0.31,1
0.44,-41.92,-105.43,1
0.24,-1.65,0.18,1
0.12,-1.89,0.31,1
0.52,-42.53,-105.44,1
0.24,-1.71,0.37,1
0.12,-1.89,0.31,1
0.51,-42.22,-105.62,1
0.06,-1.89,0.24,1
0.06,-1.83,0.37,1
0.70,-41.89,-105.25,1
0.12,-1.83,0.37,1
0.06,-1.83,0.37,1
0.50,-41.52,-106.18,1
0.00,-1.95,0.24,1
0.06,-1.83,0.37,1
0.95,-42.11,-105.65,1
0.12,-1.89,0.24,1
0.06,-1.83,0.37,1
0.89,-42.20,-105.19,1
0.12,-1.89,0.31,1
0.06,-1.83,0.37,1
0.46,-42.07,-104.91,1
0.18,-1.77,0.31,1
0.06,-1.83,0.37,1
0.88,-41.94,-105.87,1
0.31,-1.65,0.31,1
0.31,-1.83,0.31,1
0.85,-41.98,-105.21,1
-0.06,-1.77,0.31,1
0.31,-1.83,0.31,1
0.87,-41.55,-106.09,1
0.06,-1.83,0.37,1
0.31,-1.83,0.31,1
0.32,-42.00,-106.40,1
0.12,-1.89,0.31,1
0.31,-1.83,0.31,1
0.56,-41.93,-105.88,1
0.31,-1.46,0.24,1
0.31,-1.83,0.31,1
0.55,-42.08,-105.91,1
0.12,-1.89,0.24,1
0.31,-1.83,0.31,1
0.56,-41.94,-105.51,1
0.24,-2.01,0.43,1
0.12,-1.89,0.43,1
0.92,-42.16,-106.64,1
-0.06,-1.83,0.31,1
0.12,-1.89,0.43,1
0.60,-41.80,-105.63,1
0.00,-2.01,0.37,1
0.12,-1.89,0.43,1
0.82,-42.15,-106.67,1
0.12,-1.77,0.43,1
0.12,-1.89,0.43,1
0.71,-42.07,-105.75,1
