X,Y,Z,class
0.37,-0.61,0.06,2
-0.18,-0.61,-0.06,2
9.83,6.27,64.76,2
0.00,-0.73,0.18,2
-0.18,-0.61,-0.06,2
9.31,5.90,65.60,2
-0.24,-0.37,-0.12,2
-0.18,-0.61,-0.06,2
8.95,6.43,65.54,2
0.06,-0.49,0.12,2
-0.18,-0.61,-0.06,2
9.61,5.86,65.81,2
-0.06,-0.61,0.00,2
-0.18,-0.61,-0.06,2
9.35,6.57,65.09,2
0.00,-0.49,0.06,2
-0.18,-0.61,-0.06,2
9.09,6.48,64.38,2
0.00,-0.49,0.18,2
-0.18,-0.61,-0.06,2
8.90,6.16,64.86,2
-0.12,-0.49,0.06,2
-0.18,-0.61,-0.06,2
9.30,6.21,64.38,2
0.00,-0.67,-0.06,2
0.00,-0.67,0.06,2
9.18,6.51,64.27,2
0.00,-0.67,0.06,2
0.00,-0.67,0.06,2
9.07,6.42,64.26,2
0.00,-0.79,0.06,2
0.00,-0.67,0.06,2
9.20,6.47,63.82,2
-0.12,-0.73,0.12,2
0.00,-0.67,0.06,2
8.83,6.29,64.49,2
-0.12,-0.73,0.12,2
0.00,-0.67,0.06,2
9.19,6.19,65.22,2
0.00,-0.37,0.18,2
0.00,-0.67,0.06,2
9.28,6.76,65.97,2
-0.06,-0.67,0.00,2
0.06,-0.61,0.06,2
8.84,6.20,65.53,2
-0.31,-0.61,0.06,2
0.06,-0.61,0.06,2
9.18,6.34,64.94,2
0.00,-0.85,0.12,2
0.06,-0.61,0.06,2
9.22,5.83,65.30,2
0.00,-0.73,0.06,2
0.06,-0.61,0.06,2
9.51,6.12,64.94,2
-0.12,-0.43,0.06,2
0.06,-0.61,0.06,2
8.95,5.90,64.62,2
0.12,-0.67,0.12,2
0.06,-0.61,0.06,2
8.86,6.52,65.66,2
-0.18,-0.55,0.06,2
-0.18,-0.61,0.12,2
9.12,6.02,64.20,2
-0.12,-0.67,0.06,2
-0.18,-0.61,0.12,2
9.23,6.65,65.04,2
0.06,-0.67,0.12,2
-0.18,-0.61,0.12,2
8.98,6.53,65.65,2
-0.12,-0.43,0.12,2
-0.18,-0.61,0.12,2
9.18,6.21,64.78,2
-0.12,-0.55,0.18,2
-0.18,-0.61,0.12,2
9.67,6.20,65.47,2
-0.06,-0.67,0.06,2
-0.18,-0.61,0.12,2
9.59,6.88,64.64,2
-0.12,-0.79,0.18,2
-0.12,-0.85,0.18,2
9.20,6.49,65.47,2
0.06,-0.61,0.12,2
-0.12,-0.85,0.18,2
8.95,6.26,64.22,2
0.00,-0.55,0.06,2
-0.12,-0.85,0.18,2
8.89,6.34,65.26,2
-0.12,-0.43,0.06,2
-0.12,-0.85,0.18,2
8.87,6.49,65.06,2
-0.06,-0.79,0.12,2
-0.12,-0.85,0.18,2
9.44,5.74,64.87,2
-0.12,-0.67,0.06,2
-0.12,-0.85,0.18,2
9.12,6.64,65.50,2
0.06,-0.73,0.00,2
0.24,-0.79,0.06,2
8.83,6.47,64.25,2
-0.12,-0.61,0.00,2
0.24,-0.79,0.06,2
9.08,5.97,64.39,2
0.00,-0.67,0.12,2
0.24,-0.79,0.06,2
9.25,6.14,64.25,2
-0.12,-0.73,0.12,2
0.24,-0.79,0.06,2
9.40,6.67,63.70,2
0.00,-0.61,0.06,2
0.24,-0.79,0.06,2
8.83,6.76,64.17,2
0.00,-0.67,0.12,2
