X,Y,Z,class
0.06,-1.16,-0.24,3
0.06,-1.28,-0.12,3
0.61,51.66,-72.72,3
-0.18,-1.28,-0.12,3
0.06,-1.28,-0.12,3
0.96,52.08,-73.18,3
0.18,-1.28,-0.12,3
0.06,-1.28,-0.12,3
0.61,52.20,-74.06,3
0.12,-1.22,-0.06,3
0.06,-1.28,-0.12,3
0.45,52.00,-73.38,3
0.00,-1.22,0.00,3
0.06,-1.28,-0.12,3
0.44,51.29,-72.96,3
-0.06,-1.22,-0.12,3
0.06,-1.22,-0.12,3
0.24,51.60,-73.06,3
0.00,-1.46,0.00,3
0.06,-1.22,-0.12,3
0.09,51.62,-73.93,3
0.18,-1.28,0.00,3
0.06,-1.22,-0.12,3
0.35,51.22,-73.99,3
0.06,-1.46,-0.12,3
0.06,-1.22,-0.12,3
0.32,51.66,-73.18,3
0.31,-1.53,-0.06,3
0.06,-1.22,-0.12,3
0.61,51.70,-72.61,3
0.18,-1.34,-0.06,3
0.06,-1.22,-0.12,3
0.44,51.66,-74.24,3
-0.06,-1.28,0.00,3
-0.06,-1.28,-0.12,3
0.73,52.15,-72.90,3
-0.06,-1.28,-0.18,3
-0.06,-1.28,-0.12,3
0.13,51.97,-73.24,3
-0.06,-1.28,-0.24,3
-0.06,-1.28,-0.12,3
0.29,51.60,-72.58,3
-0.06,-1.34,-0.06,3
-0.06,-1.28,-0.12,3
0.01,51.17,-73.00,3
0.06,-1.16,-0.06,3
-0.06,-1.28,-0.12,3
-0.10,51.15,-74.05,3
-0.06,-1.10,-0.12,3
-0.06,-1.28,-0.12,3
0.23,51.11,-73.44,3
-0.18,-1.22,0.00,3
-0.06,-1.28,-0.12,3
-0.06,51.68,-73.25,3
0.00,-1.40,-0.06,3
-0.06,-1.28,-0.12,3
0.37,51.49,-73.06,3
0.06,-1.40,-0.18,3
-0.06,-1.28,-0.12,3
0.52,51.59,-73.35,3
-0.06,-1.22,-0.18,3
-0.06,-1.28,-0.12,3
0.05,51.71,-73.74,3
0.00,-1.22,-0.06,3
-0.06,-1.28,-0.12,3
0.38,51.71,-73.36,3
-0.12,-1.40,-0.12,3
-0.06,-1.28,-0.12,3
0.40,51.70,-74.65,3
-0.12,-1.40,-0.12,3
-0.06,-1.28,-0.12,3
0.02,51.68,-73.05,3
-0.06,-1.22,-0.12,3
-0.06,-1.28,-0.12,3
0.40,51.67,-73.47,3
-0.12,-1.16,-0.06,3
-0.06,-1.28,-0.12,3
0.62,52.39,-73.96,3
0.00,-1.16,-0.18,3
-0.06,-1.28,-0.12,3
-0.22,51.87,-73.78,3
-0.06,-1.59,-0.12,3
-0.06,-1.28,-0.12,3
0.27,51.78,-72.33,3
-0.06,-1.22,-0.12,3
-0.06,-1.28,-0.12,3
0.09,51.37,-72.63,3
-0.12,-1.22,-0.18,3
-0.06,-1.28,-0.12,3
-0.11,51.78,-73.61,3
-0.12,-1.40,-0.06,3
-0.06,-1.28,-0.12,3
0.07,51.95,-73.25,3
-0.06,-1.34,-0.12,3
-0.06,-1.28,-0.12,3
-0.07,51.50,-73.23,3
0.00,-1.16,-0.12,3
-0.06,-1.28,-0.12,3
0.28,51.27,-73.84,3
-0.18,-1.46,-0.18,3
0.00,-1.28,-0.31,3
-0.06,51.48,-73.61,3
0.06,-1.40,0.00,3
0.00,-1.28,-0.31,3
0.10,51.99,-73.13,3
-0.12,-1.46,-0.24,3
0.00,-1.28,-0.31,3
0.50,51.35,-73.73,3
-0.12,-1.53,-0.12,3
0.00,-1.28,-0.31,3
0.42,51.26,-73.84,3
0.06,-1.28,0.00,3
0.00,-1.28,-0.31,3
0.45,51.45,-74.35,3
0.06,-1.28,0.12,3
0.00,-1.28,-0.31,3
1.23,52.06,-72.91,3
-0.12,-1.28,-0.12,3
0.00,-1.59,0.00,3
0.56,51.46,-73.12,3
-0.06,-1.40,-0.06,3
0.00,-1.59,0.00,3
0.81,52.12,-72.68,3
0.06,-1.40,-0.06,3
0.00,-1.59,0.00,3
0.32,51.70,-72.49,3
-0.12,-1.28,-0.06,3
0.00,-1.59,0.00,3
0.45,52.12,-73.47,3
-0.12,-1.40,-0.12,3
0.00,-1.59,0.00,3
0.82,51.73,-73.52,3
0.06,-1.28,-0.18,3
0.00,-1.59,0.00,3
0.39,51.56,-73.50,3
-0.06,-1.28,-0.12,3
-0.12,-1.59,0.00,3
0.29,51.55,-73.18,3
-0.06,-1.34,-0.12,3
-0.12,-1.59,0.00,3
-0.12,51.39,-73.77,3
-0.06,-1.40,0.06,3
-0.12,-1.59,0.00,3
0.46,51.78,-73.51,3
0.12,-1.46,0.00,3
-0.12,-1.59,0.00,3
0.54,51.82,-73.61,3
0.12,-1.53,-0.12,3
-0.12,-1.59,0.00,3
0.23,51.05,-72.86,3
-0.06,-1.46,0.00,3
-0.12,-1.59,0.00,3
0.02,51.32,-71.46,3
0.00,-1.28,0.06,3
-0.12,-1.59,0.00,3
0.40,51.28,-73.71,3
0.00,-1.28,0.12,3
-0.12,-1.59,0.00,3
0.33,51.82,-72.85,3
0.18,-1.22,0.06,3
-0.12,-1.59,0.00,3
0.73,52.17,-74.58,3
0.31,-1.53,-0.12,3
-0.12,-1.59,0.00,3
0.94,51.39,-73.38,3
0.06,-1.22,-0.12,3
-0.12,-1.59,0.00,3
-0.10,51.93,-73.67,3
