X,Y,Z,class
0.00,0.00,0.00,4
0.00,0.00,0.00,4
44.95,-41.11,-62.59,4
-1.16,-0.79,-0.73,4
0.00,0.00,0.00,4
45.64,-41.08,-62.17,4
0.06,-1.10,0.06,4
0.00,0.00,0.00,4
45.17,-41.19,-63.37,4
0.00,-1.16,0.06,4
0.00,0.00,0.00,4
45.86,-40.99,-62.57,4
0.00,-0.85,0.12,4
0.00,0.00,0.00,4
45.46,-41.37,-62.16,4
-0.18,-1.04,0.12,4
0.00,0.00,0.00,4
45.83,-41.25,-63.88,4
0.18,-0.92,0.12,4
0.00,0.00,0.00,4
45.58,-41.11,-63.28,4
0.00,-0.98,0.00,4
0.00,0.00,0.00,4
45.17,-40.76,-63.10,4
0.06,-1.22,0.18,4
0.00,0.00,0.00,4
45.03,-40.61,-63.99,4
0.00,-0.85,0.24,4
0.00,0.00,0.00,4
45.35,-40.76,-62.90,4
0.00,-1.10,0.06,4
0.12,-1.16,0.06,4
45.20,-41.06,-63.83,4
0.12,-1.04,0.12,4
0.12,-1.16,0.06,4
45.07,-41.00,-62.30,4
0.06,-1.40,0.24,4
0.12,-1.16,0.06,4
45.09,-40.84,-62.40,4
-0.06,-1.10,0.12,4
0.12,-1.16,0.06,4
45.15,-41.00,-62.93,4
-0.12,-1.04,0.06,4
0.12,-1.16,0.06,4
45.59,-40.65,-64.28,4
0.00,-1.10,0.24,4
0.12,-1.16,0.06,4
45.17,-40.87,-62.74,4
0.00,-0.98,0.06,4
0.12,-1.16,0.06,4
45.64,-40.87,-63.64,4
0.06,-1.16,0.06,4
0.12,-1.16,0.06,4
45.91,-40.73,-63.16,4
0.12,-1.40,0.06,4
0.12,-1.16,0.06,4
44.98,-40.26,-62.44,4
0.06,-1.04,0.06,4
0.12,-1.16,0.06,4
44.96,-40.83,-62.88,4
0.00,-1.10,0.12,4
0.12,-1.16,0.06,4
45.30,-40.63,-63.59,4
0.00,-1.22,0.12,4
0.12,-1.16,0.06,4
44.80,-40.82,-62.63,4
0.18,-1.16,0.00,4
0.12,-1.16,0.06,4
45.04,-40.50,-63.24,4
0.12,-1.16,0.12,4
0.12,-1.16,0.06,4
45.01,-40.59,-62.85,4
-0.06,-0.98,0.06,4
0.12,-1.16,0.06,4
45.37,-41.16,-62.18,4
0.00,-1.10,-0.06,4
0.12,-1.16,0.06,4
45.13,-40.69,-64.33,4
0.12,-1.40,0.00,4
0.12,-1.16,0.06,4
45.24,-40.70,-61.85,4
0.06,-1.46,0.18,4
0.12,-1.16,0.06,4
45.37,-40.59,-63.71,4
-0.06,-1.16,0.12,4
0.12,-1.16,0.06,4
45.23,-40.84,-63.09,4
0.00,-1.40,0.18,4
0.12,-1.16,0.06,4
45.87,-40.41,-63.29,4
0.18,-1.22,0.12,4
0.12,-1.16,0.06,4
45.73,-40.61,-62.89,4
0.18,-1.34,0.06,4
0.12,-1.16,0.06,4
45.51,-41.04,-62.92,4
0.06,-1.28,0.12,4
0.12,-1.16,0.06,4
45.29,-40.92,-62.57,4
0.06,-1.16,0.00,4
-0.06,-0.98,-0.06,4
45.01,-40.76,-63.05,4
0.18,-1.34,0.12,4
-0.06,-0.98,-0.06,4
45.39,-41.09,-62.94,4
0.06,-1.04,0.12,4
-0.06,-0.98,-0.06,4
45.20,-40.81,-62.89,4
0.18,-1.10,0.12,4
-0.06,-0.98,-0.06,4
44.87,-40.73,-63.49,4
0.12,-1.22,-0.06,4
-0.06,-0.98,-0.06,4
45.40,-40.84,-63.02,4
0.00,-1.22,0.12,4
